CustomerID,PrimaryLegalName,CustomerType,RiskRating,KYC_Status,IsPEP,LastUpdatedDate,Gender,DateOfBirth,PlaceOfBirth_City,PlaceOfBirth_Country,IncorporationDate,IncorporationJurisdiction,BusinessActivityDescription,FullAddress,CurrentCity,ResidencyCountry,EmailAddress,DocumentType,ID_Number,IssuingCountry,ID_ExpiryDate,OfficeHeld,PEP_Jurisdiction,PEP_Level
CUST-9DD20DB6,"حجار, الجفالي and مهنا Corp",Entity,Low,Onboarded,0,2026-03-18 16:37:59,,,,,2015-10-09,Vietnam,Fintech,"PSC 6391, Box 9352, APO AA 45026",Port قاصدview,Nepal,fsylsrj@example.org,Tax ID,GK90304015,Nepal,2034-12-27,,,
CUST-CCF01ACE,Laurence Duhamel,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Other,1938-12-26,Rousseau,Tunisie,,,,"8, rue Adèle Torres, 20696 ChevallierBourg",Leroux,Nicaragua,albertthierry@example.com,ID,TZ14432200,Nicaragua,2032-05-14,,,
CUST-BFAD9F85,Naail Jalaal,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Female,1961-06-25,Batooltown,Sweden,,,,"699 Faizan Fall, Lateefville, OR 70731",Lake Naadir,Belize,rabbghawth@example.org,ID,BI52453972,Belize,2034-06-19,,,
CUST-AC543591,Maria Júlia Ramos,Individual,Medium,Onboarded,0,2026-03-18 16:37:59,Other,1995-03-01,Lopes,Maurícia,,,,"Praia Benicio Carvalho, 3, Conjunto Serra Verde, 69285-248 Câmara Paulista / PB",da Cruz,Bolívia,fernanda53@example.org,Passport,FZ46765803,Bolívia,2031-04-07,,,
CUST-B831A0E6,Oliver Bolton,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Other,1976-11-04,Louiseville,Reunion,,,,"3 Pamela Parks, Wrightchester, CM74 6NR",North Eileen,Hong Kong,mathew22@example.net,Passport,PI36949715,Hong Kong,2026-10-11,,,
CUST-44AFBE8E,徐荣,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Other,1978-02-03,银川县,蒙古,,,,辽宁省秀云市翔安周路r座 850518,雷市,多米尼克国,yanxue@example.net,License,SP90244053,多米尼克国,2034-09-07,,,
CUST-6AC4D816,لانا آل سعود,Individual,Low,Suspended,0,2026-03-18 16:37:59,Male,1984-01-27,New فهميmouth,New Zealand,,,,"65263 بقشان Junction Apt. 021, عبد الحفيظview, MN 60808",حجارview,American Samoa,al-mqtmyswr@example.com,License,NV14361501,American Samoa,2028-07-12,,,
CUST-E1E373DE,Elizabeth Oyekan,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Other,1976-09-24,Ezeview,Vanuatu,,,,"460 Sarah Estate, East Peter, NE 67319",Davidhaven,Bouvet Island (Bouvetoya),andrewuche@example.org,Passport,BF20882598,Bouvet Island (Bouvetoya),2028-08-23,,,
CUST-D78A902F,Daniel Obasanjo,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Other,1982-09-09,South Josephview,Colombia,,,,"500 Emmanuel Port, East Stephen, VT 57606",Chukwuview,Saint Pierre and Miquelon,abiolajoy@example.com,License,MP10546513,Saint Pierre and Miquelon,2030-08-28,,,
CUST-A39FAF1E,Nadir Barraq,Individual,Low,Onboarded,0,2026-03-18 16:37:59,Female,2004-12-14,Dabirborough,Vanuatu,,,,"825 Jalaal Green Suite 276, New Kamalberg, OK 02773",New Mahfuj,Costa Rica,dsadaqat@example.com,ID,DE55645148,Costa Rica,2028-02-12,,,
